#,Name of the Plant,Family,Common Name,Herbarium Image and Uses
1559,"
Salacia oblonga Wall.
",CELASTRACEAE,Chundan (Tam.),  
1560,"
Salacia reticulata Wight
",CELASTRACEAE,"Saptarangi, Etanayakam (Sans.)",  
1561,"
Salicornia brachiata Roxb.
",CHENOPODIACEAE,Muchul (Guj.),  
1562,"
Salix acmophylla Boiss.
",SALICACEAE,"Bada, Bed",  
1563,"
Salix babylonica L.
",SALICACEAE,Attuppalai (Tel.),  
1564,"
Salix caprea L.
",SALICACEAE,Bedmushk,  
1565,"
Salix tetrasperma Roxb.
",SALICACEAE,"Bod, Bent",  
1566,"
Salsola baryosma (R.& S.) Dandy
",CHENOPODIACEAE,Ellakura (Tel.),  
1567,"
Salsola kali L.
",CHENOPODIACEAE,Sajjibuti (Punjab),  
1568,"
Salvadora oleoides Decne.
",SALVADORACEAE,"Bahapilu, Chootapilu",  
1569,"
Salvadora persica L.
",SALVADORACEAE,"Jhak, Kharjal",  
1570,"
Salvia aegyptica L.
",LAMIACEAE,Tukham malanga (Punjab),  
1571,"
Salvia moorcroftiana Wall. ex Benth.
",LAMIACEAE,"Thuth, Kali jarri (Punjab)",  
1572,"
Salvia officinalis L.
",LAMIACEAE,Salvia sefakuss,  
1573,"
Salvia plebeia R.Br.
",LAMIACEAE,Kaka-buradi (Beng.),  
1574,"
Samadera indica Gaertn.
",SIMAROUBACEAE,"Nibam, Mepa, Karinjottei (Tam.)",  
1575,"
Sambucus nigra L.
",CAPRIFOLIACEAE,European or Black Elder (Eng.),  
1576,"
Sambucus wightiana Wall. ex Wight & Arn.
",CAPRIFOLIACEAE,Richhkas (Punjab),  
1577,"
Sandoricum indicum Cav.
",MELIACEAE,Sayai (Tam.),  
1578,"
Santaloides minus Schellenb.
",CONNARACEAE,"Kalavidhara, Vidhara",  
1579,"
Santalum album L.
",SANTALACEAE,"Safed chandan, Sandal",  
1580,"
Sapindus mukorossi Gaertn.
",SAPINDACEAE,"Ritha, Reetha",  
1581,"
Sapindus trifoliatus L.
",SAPINDACEAE,"Reetha, Ritha",  
1582,"
Sapium indicum Willd.
",EUPHORBIACEAE,Hurna,  
1583,"
Sapium insigne (Royle) Benth.
",EUPHORBIACEAE,"Khinna, Khirun",  
1584,"
Sapium sebiferum (L.) Roxb.
",EUPHORBIACEAE,"Pippalyang, Vilayati-shisham",  
1585,"
Saprosma ternatum Benth. & Hook.f.
",RUBIACEAE,Bhedeli (Assam),  
1586,"
Saraca indica L.
",CAESALPINIACEAE,"Asok, Ashoka",  
1587,"
Sarcococca saligna Muell.Arg.
",EUPHORBIACEAE,Sukat sing (Kumaun),  
1588,"
Sarcostemma acidum (Roxb.) Voigt.
",ASCLEPIADACEAE,Somlata,  
1589,"
Sarcostemma brunonianum Wight & Arn.
",ASCLEPIADACEAE,Muroakiriya (Sinhalese),  
1590,"
Sarcostemma intermedium Decne.
",ASCLEPIADACEAE,Phok (Mar.),  
1591,"
Sarcostigma kleinii Wight & Arn.
",ICACINACEAE,Ingudi (Sans.),  
1592,"
Satureja hortensis L.
",LAMIACEAE,Summer Savory (Eng.),  
1593,"
Sauromatum venosum (Aiton) Kunth
",ARACEAE,Nurki (Mar.),  
1594,"
Sauropus androgynus (L.) Merr.
",EUPHORBIACEAE,Thavasai murungai (Tam.),  
1595,"
Sauropus quadrangularis (Willd.) Müll.Arg.
",EUPHORBIACEAE,Tellavusirika (Tel.),  
1596,"
Saussurea affinis Spreng. ex DC.
",ASTERACEAE,Gangamula (Assam),  
1597,"
Saussurea auriculata (Spreng. ex DC.) Sch.Bip.
",ASTERACEAE,Kut,  
1598,"
Saussurea heteromalla (D.Don) Hand.-Mazz.
",ASTERACEAE,Batula (Punjab),  
1599,"
Saussurea lappa (Decne.) Sch.Bip.
",ASTERACEAE,"Kut, Kur",  
1600,"
Saussurea obvallata (DC.) Sch.Bip.
",ASTERACEAE,Kanwal (Punjab),  
1601,"
Scaevola taccada (Gaertn.) Roxb.
",GOODENIACEAE,Bhadrak (Mar.),  
1602,"
Schima wallichii (DC.) Korth.
",THEACEAE,"Chilauni, Kanak",  
1603,"
Schleichera oleosa (Lour.) Oken
",SAPINDACEAE,Kusum,  
1604,"
Schrebera swietenioides Roxb.
",OLEACEAE,"Moka, Banpalas",  
1605,"
Schweinfurthia papilionacea (Burm.f.) Boiss.
",SCROPHULARIACEAE,"Nepal nimb, Sanipat",  
1606,"
Scilla hyacinthina (Roth) Macbridge
",LILIACEAE,Safedi-khus,  
1607,"
Scindapsus officinalis (Roxb.) Schott
",ARACEAE,"Gajapipal, Pippal-jhanca",  
1608,"
Scirpus articulatus L.
",CYPERACEAE,Chichora,  
1609,"
Scirpus grossus L.f.
",CYPERACEAE,"Kasuru, Kesur",  
1610,"
Scirpus lacustris L.
",CYPERACEAE,Great Bulrush (Eng.),  
1611,"
Scirpus maritimus L.
",CYPERACEAE,Saltmarsh buirush (Eng.),  
1612,"
Scleria levis Retz.
",CYPERACEAE,Nutrushes (Eng.),  
1613,"
Scleria lithosperma (L.) Sw.
",CYPERACEAE,Nakkupullu (Malayalam),  
1614,"
Scoparia dulcis L.
",SCROPHULARIACEAE,Jastimadhu (Santal),  
1615,"
Scutellaria discolor Wall. ex Benth.
",LAMIACEAE,Daampaate (Nepali),  
1616,"
Scutellaria galericulata L.
",LAMIACEAE,Common Skullcap (Eng.),  
1617,"
Sebastiania chamaelea(L.) Muell.Arg.
",EUPHORBIACEAE,Bhuierendi (Konkan),  
1618,"
Secamone emetica (Retz.) R.Br. ex Sm.
",EUPHORBIACEAE,Shadaburi (Beng.),  
1619,"
Securinega leucopyrus (Willd.) Müll.Arg.
",EUPHORBIACEAE,"Hartho, Ainta",  
1620,"
Securinega virosa (Roxb. ex Willd.) Baill.
",EUPHORBIACEAE,"Dalme, Patala",  
1621,"
Sedum multicaule Wall. ex Lindl.
",CRASSULACEAE,Multi-Stem Sedum (Eng.),  
1622,"
Semecarpus anacardium L.f.
",ANACARDIACEAE,"Bhela, Bhilawa",  
1623,"
Senecio bhutanicus N.P.Balakr.
",ASTERACEAE,Lemon Bean Bush (Eng.),  
1624,"
Senecio chrysanthemoides DC.
",ASTERACEAE,Cheerful Senecio (Eng.),  
1625,"
Senecio jacquemontianus (Decne.) Benth. ex Hook.f.
",ASTERACEAE,Poshkar (Kashmir),  
1626,"
Senecio tenuifolius Burm.f.
",ASTERACEAE,Katimera (Tel.),  
1627,"
Senecio vulgaris L.
",ASTERACEAE,Groundsel (Eng.),  
1628,"
Sesamum orientale L.
",PEDALIACEAE,Til,  
1629,"
Sesbania bispinosa (Jacq.) W.Wight
",FABACEAE,Ikkada,  
1630,"
Sesbania grandiflora (L.) Poir.
",FABACEAE,"Bak, Agasti",  
1631,"
Sesbania sesban (L.) Merr.
",FABACEAE,"Jainti, Jait",  
1632,"
Seseli diffusum (Roxb. ex Sm.) Santapau & Wagh
",APIACEAE,Vanayamani (Sans.),  
1633,"
Seseli sibiricum Benth. ex C.B.Clarke
",APIACEAE,Bhootakeshi (J &K),  
1634,"
Setaria plicata (Lam.) T.Cook
",POACEAE,Kangni,  
1635,"
Shorea robusta Gaertn.f.
",DIPTEROCARPACEAE,"Sal, Sakhu",  
1636,"
Sida acuta Burm.f.
",MALVACEAE,"Bariara, Kareta",  
1637,"
Sida cordata (Burm.f.) Borss.Waalk.
",MALVACEAE,"Bhiunli, Junka (Beng.)",  
1638,"
Sida cordifolia L.
",MALVACEAE,Kungyi,  
1639,"
Sida ovata Forsk.
",MALVACEAE,Ball (Rajasthan),  
1640,"
Sida rhombifolia L.
",MALVACEAE,Lal barela,  
1641,"
Siegesbeckia orientalis L.
",ASTERACEAE,Pilibadkadi (Guj.),  
1642,"
Silene conoidea L.
",CARYOPHYLLACEAE,Cone campion (Eng.),  
1643,"
Silene gallica L.
",CARYOPHYLLACEAE,Windmill Pink (Eng.),  
1644,"
Silybum marianum (L.) Gaertn.
",ASTERACEAE,Milk Thistle (Eng.),  
1645,"
Sisymbrium altissimum L.
",BRASSICACEAE,Tumble-Mustard (Eng.),  
1646,"
Sisymbrium irio L.
",BRASSICACEAE,Khubkalan,  
1647,"
Sisymbrium loeselii L.
",BRASSICACEAE,Small tumble weed mustard (Eng.),  
1648,"
Skimmia laureola (DC.) Sieb. & Zucc. ex Walp.
",RUTACEAE,"Kedarpatta, Masturipath (Local names)",  
1649,"
Smilax glabra Roxb.
",SMILACACEAE,Barichob-chini,  
1650,"
Smilax lanceaefolia Roxb.
",SMILACACEAE,Hindichobchini,  
1651,"
Smilax ovalifolia Roxb.
",SMILACACEAE,"Jangli- aushbah, Chob-chini",  
1652,"
Smithia conferta Sm.
",FABACEAE,Naichibha (Mar.),  
1653,"
Smithia sensitiva Aiton
",FABACEAE,Odabrini,  
1654,"
Solanum albicaule Kotschy ex Dunal
",SOLANACEAE,Narkanta (Rajasthan),  
1655,"
Solanum dulcamara L.
",SOLANACEAE,Kakmachi (Sans.),  
1656,"
Solanum erianthum D.Don
",SOLANACEAE,Vidari (Sans.),  
1657,"
Solanum ferox L.
",SOLANACEAE,Garbhada (Sans.),  
1658,"
Solanum gracilipes Decne.
",SOLANACEAE,Howa (Punjab),  
1659,"
Solanum indicum L.
",SOLANACEAE,"Barhanta, Birhatta (Hindi)",  
1660,"
Solanum melongena L.
",SOLANACEAE,"Bengan, Ubhi ringani (Guj)",  
1661,"
Solanum nigrum L.
",SOLANACEAE,Makoi,  
1662,"
Solanum spirale Roxb.
",SOLANACEAE,Mungaskajur,  
1663,"
Solanum surattense Burm.f.
",SOLANACEAE,"Kateli, Katai",  
1664,"
Solanum torvum Sw.
",SOLANACEAE,Titbaigun (Beng.),  
1665,"
Solanum trilobatum L.
",SOLANACEAE,Alarka (Sans.),  
1666,"
Solanum tuberosum L.
",SOLANACEAE,Alu,  
1667,"
Solidago virgaurea L.
",ASTERACEAE,Woundwort (Eng.),  
1668,"
Sonchus asper (L.) Hill
",ASTERACEAE,Didhi,  
1669,"
Sonchus brachyotus DC.
",ASTERACEAE,Sadhi,  
1670,"
Sonchus oleraceus L.
",ASTERACEAE,"Dudhi, Dodak",  
1671,"
Sonneratia caseolaris (L.) Engl.
",SONNERATIACEAE,"Orcha, Archa (Beng.)",  
1672,"
Sophora mollis (Royle) Baker
",FABACEAE,"Kun, Malan (Punjab)",  
1673,"
Sophora tomentosa L.
",FABACEAE,Silver Bush (Eng.),  
1674,"
Sopubia delphinifolia (L.) G.Don
",SCROPHULARIACEAE,Dudhali (Mar. & Guj.),  
1675,"
Sorbaria tomentosa (Lindl.) Rehder
",ROSACEAE,Baakhre jhaar (Nepali),  
1676,"
Sorbus aucuparia L.
",ROSACEAE,Baltal (Punjab),  
1677,"
Sorghum halepense (L.) Pers.
",POACEAE,Baru,  
1678,"
Soymida febrifuga A.Juss.
",MELIACEAE,"Rohun, Rohunna",  
1679,"
Spermadictyon suaveolens Roxb.
",RUBIACEAE,Kondamuritidi (Tel.),  
1680,"
Sphaeranthus africanus L.
",ASTERACEAE,Sveta hapusa (Sans.),  
1681,"
Sphaeranthus indicus L.
",ASTERACEAE,"Mundi, Gorakh mundi",  
1682,"
Sphenodesme pentandra Jack.
",VERBENACEAE,Tukha-karaing (Kach.),  
1683,"
Spilanthes calva DC.
",ASTERACEAE,Akkalkara (Mar.),  
1684,"
Spinacia oleracea L.
",CHENOPODIACEAE,Para cress (Eng.),  
1685,"
Spondias pinnata (L.f.) Kurz
",ANACARDIACEAE,"Ambada, Jangali Aam",  
1686,"
Stachys palustris L.
",LAMIACEAE,Marsh Woundwort (Eng.),  
1687,"
Stachys parviflora Benth.
",LAMIACEAE,"Baggibuti, Kirimar (Punjab)",  
1688,"
Stachys sylvatica L.
",LAMIACEAE,Hedge Woundwort (Eng.),  
1689,"
Stachytarpheta indica (L.) Vahl
",VERBENACEAE,Kariyartharani,  
1690,"
Stellaria alsine Grimm
",CARYOPHYLLACEAE,Bog stitchwort (Eng.),  
1691,"
Stellaria media (L.) Vill.
",CARYOPHYLLACEAE,Morolia (Assam),  
1692,"
Stemodia viscosa Roxb.
",SCROPHULARIACEAE,Nukachuni (Beng.),  
1693,"
Stephania glabra (Roxb.) Miers.
",MENISPERMACEAE,Gindaru (Garhwal),  
1694,"
Stephania hernandifolia (Willd.) Walp.
",MENISPERMACEAE,"Musakani, Vanatiktika (Sans.)",  
1695,"
Sterculia balanghas L.
",STERCULIACEAE,Kavalam (Tam.),  
1696,"
Sterculia foetida L.
",STERCULIACEAE,Jangli badam,  
1697,"
Sterculia rubiginosa Vent.
",STERCULIACEAE,Rusty Sterculai (Eng.),  
1698,"
Sterculia urens Roxb.
",STERCULIACEAE,"Gular, Gulu",  
1699,"
Stereospermum chelonoides (L.f.) DC.
",BIGNONIACEAE,"Parral, Pader",  
1700,"
Stereospermum personatum (Hassk.) Chatterjee
",BIGNONIACEAE,"Parral, Pader",  
1701,"
Stranvaesia glaucescens Lindl.
",ROSACEAE,Gadh-mehal (Kumaun),  
1702,"
Streblus asper Lour.
",MORACEAE,"Siora, Karchanua",  
1703,"
Striga asiatica (L.) Kuntze
",SCROPHULARIACEAE,Agia,  
1704,"
Striga gesnerioides (Willd.) Vatke
",SCROPHULARIACEAE,Missi,  
1705,"
Strobilanthes callosus Nees
",ACANTHACEAE,Maruadana,  
1706,"
Strobilanthes cusia (Nees.) Kuntze
",ACANTHACEAE,Rum (Assam),  
1707,"
Strobilanthes lupulinus Nees
",ACANTHACEAE,Karun Kurinji (Tam.),  
1708,"
Strophanthus wightianus Wall.
",APOCYNACEAE,Neivalli (Tam.),  
1709,"
Strychnos aenea A.W.Hill
",LOGANIAACEAE,Mothira-kanjiram (Mal.),  
1710,"
Strychnos cinnamomifolia Thwaites
",LOGANIAACEAE,Valli-kanjiram (Madras),  
1711,"
Strychnos colubrina L.
",LOGANIAACEAE,Kuchila lata,  
1712,"
Strychnos ignatii Berg.
",LOGANIACEAE,Pipita,  
1713,"
Strychnos nux-vomica L.
",LOGANIAACEAE,"Bailewa, Kajra",  
1714,"
Strychnos potatorum L.f.
",LOGANIAACEAE,"Nirmali, Nelmal",  
1715,"
Styrax benzoin Dryand.
",STYRACACEAE,"Luban, Loban",  
1716,"
Suaeda fruticosa (L.) Forsk.
",CHENOPODIACEAE,"Lunak, Chhoti-lani",  
1717,"
Swertia alata (D.Don) Royle ex C.B.Clarke
",GENTIANACEAE,Bui (Kashmir),  
1718,"
Swertia angustifolia Buch.-Ham. ex D.Don
",GENTIANACEAE,"Pahari kiretta, Mitha kirayat",  
1719,"
Swertia paniculata Wall.
",GENTIANACEAE,Kadavi (Mar.),  
1720,"
Symplocos chinensis (Lour.) Druce
",SYMPLOCACEAE,Ludh,  
1721,"
Symplocos racemosa Roxb.
",SYMPLOCACEAE,Lodha,  
1722,"
Synedrella nodiflora (L.) Gaertn.
",ASTERACEAE,Mudiyendra pacha (Mal.),  
1723,"
Syringa persica L.
",OLEACEAE,Hiasmin (Kashmir),  
1724,"
Syzygium aromaticum (L.) Merr. & L.M.Perry
",MYRTACEAE,"Laung, Lavanga",  
1725,"
Syzygium cumini (L.) Skeels
",MYRTACEAE,"Jaman, Jam",  
1726,"
Syzygium jambos (L.) Alston
",MYRTACEAE,Gulabjaman (Hindi & Mal.),  
1727,"
Syzygium zeylanicum (L.) DC.
",MYRTACEAE,Bhedas (Mar.),  
1728,"
Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult.
",APOCYNACEAE,"Chandni, Tagar",  
1729,"
Tacca integrifolia Ker-Gawl.
",TACCACEAE,Vrahikanda,  
1730,"
Tagetes erecta L.
",ASTERACEAE,"Genda, Gultera",  
1731,"
Tamarindus indica L.
",CAESALPINIACEAE,"Imli, Amli",  
1732,"
Taraxacum offininale Weber
",ASTERACEAE,"Dulal, Barau",  
1733,"
Tarenna asiatica (L.) Kuntze ex K.Schum.
",RUBIACEAE,Kankra (Beng.),  
1734,"
Taverniera cuneifolia (Roth) Arn.
",FABACEAE,East-Indian Moneywort (Eng.),  
1735,"
Taxus wallichiana Zucc.
",TAXACEAE,"Thuno, Birmi",  
1736,"
Tecoma stans (L.) Juss. ex Kunth
",BIGNONIACEAE,Sonapatti (Tam.),  
1737,"
Tecomella undulata (Sm.) Seem.
",BIGNONIACEAE,"Rugtrora, Roheda",  
1738,"
Tectona grandis L.f.
",VERBENACEAE,"Sagun, Sagwan",  
1739,"
Tephrosia candida (Roxb.) DC.
",FABACEAE,"Lashtia, Masethi",  
1740,"
Tephrosia purpurea (L.) Pers.
",FABACEAE,"Jand, Chaunkra",  
1741,"
Tephrosia uniflora Pers.
",FABACEAE,Kanthalu (Sans.),  
1742,"
Tephrosia villosa (L.) Pers.
",FABACEAE,Runchhalisarpankho (Guj.),  
1743,"
Teramnus labialis (L.f.) Spreng
",FABACEAE,"Mashoni, Mashparui",  
1744,"
Terminalia alata B.Heyne ex Roth
",COMBRETACEAE,"Asan, Sain",  
1745,"
Terminalia arjuna (Roxb.) Wight & Arn.
",COMBRETACEAE,Arjuna,  
1746,"
Terminalia bellirica (Gaertn.) Roxb.
",COMBRETACEAE,Bahera,  
1747,"
Terminalia bialata Steud.
",COMBRETACEAE,Safed chuglam (Andamans),  
1748,"
Terminalia catappa L.
",COMBRETACEAE,Deshi Badam,  
1749,"
Terminalia chebula (Gaertn.) Retz.
",COMBRETACEAE,Harre,  
1750,"
Terminalia citrina Roxb.
",COMBRETACEAE,Hritaki (Beng.),  
1751,"
Terminalia coriacea Wight & Arn.
",COMBRETACEAE,Tani (Tel.),  
1752,"
Terminalia myriocarpa Van Heurck & Muell.Arg.
",COMBRETACEAE,Pnisaj (Beng.),  
1753,"
Terminalia pallida Brandis
",COMBRETACEAE,Tellakaraka (Tel.),  
1754,"
Terminalia paniculata Roth
",COMBRETACEAE,Kinjal (Mar.),  
1755,"
Ternstroemia gymnanthera (Wight & Arn.) Bedd.
",THEACEAE,Kamoni (Kan.),  
1756,"
Tetracera laevis Vahl
",DILLENIACEAE,Anaittichal (Tam.),  
1757,"
Tetradium fraxinifolium (Hook.) Hartley
",RUTACEAE,Kanukpa (Nepal & Bengal),  
1758,"
Tetradium ruticarpum (A.Juss.) Hartley
",RUTACEAE,Bora-asing (Assam),  
1759,"
Teucrium chamaedrys L.
",VITACEAE,Wall-Germander,  
1760,"
Teucrium polium L.
",VITACEAE,Felty germander (Eng.),  
1761,"
Teucrium scordium L.
",LAMIACEAE,Water-Germander (Eng.),  
1762,"
Thalictrum foliolosum DC.
",RANUNCULACEAE,"Pilazari, Mamiri",  
1763,"
Thalictrum minus L.
",RANUNCULACEAE,Dwarf meadow Rue (Eng.),  
1764,"
Theobroma cacao L.
",STERCULIACEAE,Chocolate Tree (Eng.),  
1765,"
Thespesia populnea (L.) Soland. ex Correa
",MALVACEAE,"Parsipu, Porush",  
1766,"
Thevetia peruviana (Pers.) Schum.
",APOCYNACEAE,"Pile kaner, Zard kunel",  
1767,"
Thlaspi arvense L.
",BRASSICACEAE,Common Penycress (Eng.),  
1768,"
Thuja orientalis L.
",CUPRESSACEAE,"Morepankhi, Mayurpankh",  
1769,"
Thunbergia alata Bojer ex Sims
",ACANTHACEAE,Black-Eyed Susan (Eng.),  
1770,"
Thunbergia grandiflora (Roxb. ex Rottl.) Roxb.
",ACANTHACEAE,Mulluta,  
1771,"
Thunbergia laurifolia Lindl.
",ACANTHACEAE,Purple allamanda (Eng.),  
1772,"
Thymus serpyllum L.
",LAMIACEAE,Banajwain,  
1773,"
Thymus vulgaris L.
",LAMIACEAE,Common Thyme (Eng.),  
1774,"
Tiliacora acuminata (Lam.) Hook.f. & Thomson
",MENISPERMACEAE,"Bega, Bhaga",  
1775,"
Tinospora cordifolia (Willd.) Hook.f. & Thomson
",MENISPERMACEAE,"Amrita, Giloe",  
1776,"
Tinospora sinensis (Lour.) Merr.
",MENISPERMACEAE,"Giloe, Gulancha",  
1777,"
Toddalia asiatica (L.) Lam.
",RUTACEAE,"Jangli-kalimirch, Kanj",  
1778,"
Toona ciliata Roem.
",MELIACEAE,"Tun, Mahanim",  
1779,"
Torenia asiatica L.
",SCROPHULARIACEAE,Kakapu (Mal.),  
1780,"
Trachelospermum lucidum (D.Don) K.Schum.
",APOCYNACEAE,Akhahilata (Assam),  
1781,"
Trachylobium hornemannianum Hayne
",CAESALPINIACEAE,Zangiber copal (Eng.),  
1782,"
Trachyspermum ammi (L.) Sprague
",APIACEAE,"Ajowan, Ajwain",  
1783,"
Trachyspermum roxburghianum (DC.) Wolff
",APIACEAE,"Ajmud, Ajmod",  
1784,"
Tragia involucrata L.
",EUPHORBIACEAE,Barhanta,  
1785,"
Tragopogon pratensis L.
",ASTERACEAE,Bucks-beard (Eng.),  
1786,"
Tragopogon sinuatus Avé-Lall.
",ASTERACEAE,Oyester-Plant (Eng.),  
1787,"
Trapa natans L.
",TRAPACEAE,Singhara,  
1788,"
Trema orientalis (L.) Blume
",ULMACEAE,Gio,  
1789,"
Trewia nudiflora L.
",EUPHORBIACEAE,"Bhillaura, Gamhar",  
1790,"
Tribulus terrestris L.
",ZYGOPHYLLACEAE,Gokhru,  
1791,"
Trichilia connaroides (Wight. & Arn.) Bentv.
",MELIACEAE,Kapia kushi (Beng.),  
1792,"
Trichodesma africanum (L.) R.Br.
",BORAGINACEAE,African Barbbell (Eng.),  
1793,"
Trichodesma indicum (L.) Lehm.
",BORAGINACEAE,"Chhota-kulpha, Ratmandi",  
1794,"
Trichodesma zeylanicum (Burm.f.) R.Br.
",BORAGINACEAE,Hetenuria,  
1795,"
Tricholepis glaberrima DC.
",ASTERACEAE,Brahmadandi,  
1796,"
Trichosanthes bracteata (Lam.) Voigt
",CUCURBITACEAE,"Lal indrayan, Mahakal",  
1797,"
Trichosanthes cordata Roxb.
",CUCURBITACEAE,"Bhumikumra, Patol (Beng.)",  
1798,"
Trichosanthes cucumerina L.
",CUCURBITACEAE,Jangli-chachinda,  
1799,"
Trichosanthes dioica Roxb.
",CUCURBITACEAE,Parwal,  
1800,"
Trichosanthes nervifolia L.
",CUCURBITACEAE,Palval,  
1801,"
Trichosanthes wallichiana (Ser.) Wight
",CUCURBITACEAE,Muzuumtong (Local name),  
1802,"
Trifolium alexandrinum L.
",FABACEAE,Egyptian clover (Eng.),  
1803,"
Trifolium pratense L.
",FABACEAE,"Trepatra, Chit-batto (Punjab)",  
1804,"
Trifolium repens L.
",FABACEAE,White clover (Eng.),  
1805,"
Trigonella corniculata (L.) L.
",FABACEAE,"Kasuri Methi, Marwari Methi",  
1806,"
Trigonella foenum-graecum L.
",FABACEAE,"Methi, Muthi",  
1807,"
Trigonella incisa Benth.
",FABACEAE,Chainhari (Delhi),  
1808,"
Trigonella uncata Boiss. & Noe
",FABACEAE,Ban Methi,  
1809,"
Triphasia trifolia (Burm.f.) P.Wilson
",RUTACEAE,Cheeninaranghi,  
1810,"
Triumfetta semitriloba L.
",TILIACEAE,Burweed (Eng.),  
1811,"
Turraea villosa Benn.
",MELIACEAE,Pandre (Mar.),  
1812,"
Tussilago farfara L.
",ASTERACEAE,Watpan,  
1813,"
Tylophora fasciculata Ham. ex Wight
",ASCLEPIADACEAE,"Bhindodi, Bhui-dari (Bombay)",  
1814,"
Tylophora indica (Burm.f.) Merr.
",ASCLEPIADACEAE,"Jangli-pikvam, Antamul",  
1815,"
Tylophora tenuis Blume
",ASCLEPIADACEAE,Nanjaruppan (Tam. & Mal.),  
1816,"
Uncaria gambir (Hunt) Roxb.
",RUBIACEAE,Kath-kutha,  
1817,"
Uraria crinita Desv.
",FABACEAE,Dieng-kha-riu (Khasi Hills),  
1818,"
Uraria lagopodioides (L.) Desv.
",FABACEAE,Pithran,  
1819,"
Uraria picta (Jacq.) Desv. ex DC.
",FABACEAE,"Dabra, Pithavan",  
1820,"
Uraria rufescens (DC.) Schindl.
",FABACEAE,Salaparni (Sans.),  
1821,"
Urena lobata L.
",MALVACEAE,"Bachita, Unga",  
1822,"
Urena repanda Roxb. ex Sm.
",MALVACEAE,Jatjotiya (Oriya),  
1823,"
Urena sinuata L.
",MALVACEAE,"Kunjuya, Lotloti",  
1824,"
Urgenia indica (Roxb.) Kunth
",LILIACEAE,"Jangli piyaz, Ban piyazi",  
1825,"
Urtica dioica L.
",URTICACEAE,Bichhu booti,  
1826,"
Urtica parviflora Roxb.
",URTICACEAE,Paharah-bichuti,  
1827,"
Utricularia bifida L.
",LENTIBULARIACEAE,Chotajhangi (Beng.),  
1828,"
Uvaria narum (Dunal) Blume
",ANNONACEAE,Pulichan (Tam.),  
1829,"
Vaccaria pyramidata Medik.
",CARYOPHYLLACEAE,"Musna, Sabuni",  
1830,"
Valeriana dubia Bunge
",VALERIANACEAE,Common Valerian (Eng.),  
1831,"
Valeriana hardwickii Wall.
",VALERIANACEAE,"Tagger, Shumeo",  
1832,"
Valeriana jatamansi Jones
",VALERIANACEAE,Mushkbala,  
1833,"
Vallaris solanacea (Roth) Kuntze
",APOCYNACEAE,"Ramsar, Chamari-ki-vel",  
1834,"
Vanda spathulata (L.) Spreng.
",ORCHIDACEAE,Ponnamponmarva (Mal.),  
1835,"
Vanda tessellata (Roxb.) Hook. ex G.Don
",ORCHIDACEAE,"Banda, Nai",  
1836,"
Vateria indica L.
",DIPTEROCARPACEAE,"Safed domar, Kahruba",  
1837,"
Ventilago denticulata Willd.
",RHAMNACEAE,"Pitti, Raidhani",  
1838,"
Ventilago madraspatana Gaertn.
",RHAMNACEAE,Pitti,  
1839,"
Verbascum chinense (L.) Santapau
",SCROPHULARIACEAE,Gadartambaku,  
1840,"
Verbascum thapsus L.
",SCROPHULARIACEAE,"Gidar tamaku, Ban tamaku",  
1841,"
Vernonia arborea Buch.-Ham.
",ASTERACEAE,Shutthi (Tam.),  
1842,"
Vernonia cineria (L.) Less.
",ASTERACEAE,Sahadevi,  
1843,"
Vernonia squarrosa (D.Don) Less.
",ASTERACEAE,Grey Vernonia (Eng.),  
1844,"
Veronica anagallis-aquatica L.
",SCROPHULARIACEAE,Titlokia (U.P.),  
1845,"
Veronica arvensis L.
",SCROPHULARIACEAE,Corn speedwell (Eng.),  
1846,"
Veronica beccabunga L.
",SCROPHULARIACEAE,Brooklime (Eng.),  
1847,"
Vetiveria zizanioides (L.) Roberty
",POACEAE,"Khasa, Bena",  
1848,"
Viburnum foetidum Wall.
",CAPRIFOLIACEAE,Dieng-soh-leng (Khasi Hills),  
1849,"
Vicia faba L.
",FABACEAE,"Bakla, Kala matar",  
1850,"
Vicia hirsuta (L.) S.F.Gray
",FABACEAE,"Jhunjhuni ankari, Mun-muna",  
1851,"
Vicia sativa L.
",FABACEAE,Narrow-Leaved Vetch (Eng.),  
1852,"
Vigna aconitifolia (Jacq.) Marechal
",FABACEAE,"Moth, Bhringga",  
1853,"
Vigna mungo (L.) Hepper
",FABACEAE,Urd,  
1854,"
Vigna radiata (L.) Wilczek
",FABACEAE,"Mung, Pessara",  
1855,"
Vigna trilobata (L.) Verdcourt
",FABACEAE,"Mugam, Trianguli",  
1856,"
Vigna umbellata (Thunb.) Ohwi & Ohashi
",FABACEAE,"Sutri, Ghurush",  
1857,"
Vigna unguiculata (L.) Walp.
",FABACEAE,"Lobia, Riantshi",  
1858,"
Vincetoxicum album (Mill.) Asch.
",ASCLEPIADACEAE,Swallow-Wort (Eng.),  
1859,"
Viola biflora L.
",VIOLACEAE,"Banfsa, Dundi Birali",  
1860,"
Viola cineria Boiss.
",VIOLACEAE,Jinkobanafsha (Guj.),  
1861,"
Viola diffusa Ging.
",VIOLACEAE,Spreding white violet (Eng.),  
1862,"
Viola patrinii Ging
",VIOLACEAE,China violet (Eng.),  
1863,"
Viola pilosa Blume
",VIOLACEAE,Banafshah,  
